Blocks (Y, X), N, S, E, W, P, D
1_1,-99.9,-1.99517856042963,-1.99505307279374,-99.9,0,0
1_2,-99.9,-1.99273630616392,-1.99294377727932,-1.99298770756796,0,0
1_3,-99.9,-1.99237328675722,-1.9924568506882,-1.99308017278824,0,0
1_4,-99.9,-1.99015983667079,-1.99151273173969,-1.99085512443216,0,0
1_5,-99.9,-1.98975018381129,-99.9,-1.992830116047,0,0
2_1,-1.99402882193706,-1.9922106550846,-1.99231109020683,-99.9,0,0
2_2,-1.9893936039452,-1.98924471736828,-1.98938916472799,-1.99114540203043,0,0
2_3,-1.98986447657313,-1.98874356472627,-1.98874033469045,-1.99005177111832,0,0
2_4,-1.98845454647887,-1.98483412529073,-1.98530464869624,-1.98719682117811,0,0
2_5,-1.98382071010797,-1.98150575114309,-99.9,-1.98446022240393,12.0119061476071,0
3_1,-1.98908994778594,-1.98670855620212,-1.98792022142846,-99.9,0,0
3_2,-1.98288275947299,-1.98419687829855,-1.98557426818225,-1.98328629460196,12.0120352723887,0
3_3,-1.98613308959081,-1.9859688449428,-1.98574902397715,-1.98620998809656,0,0
3_4,-1.9826959514469,-1.97943234308763,-1.98131723341214,-1.98001075590879,12.0127394795742,0
3_5,-1.98162153795729,-1.98060806680798,-99.9,-1.98263680497274,0,0
4_1,-1.98271408162195,-1.98402886268969,-1.97904187239422,-99.9,12.0234979744002,0
4_2,-1.98364057599124,-1.98121524994697,-1.98087921843344,-1.98157665921411,0,0
4_3,-1.98115783355796,-1.97801930647906,-1.97753090787252,-1.97872997264102,12.011810367833,0
4_4,-1.981553622176,-1.98128502849006,-1.98087747658849,-1.98235526161438,0,0
4_5,-1.98161597393895,-1.98326209036735,-99.9,-1.98285741762008,12.0124219996944,0
5_1,-1.9828208238057,-99.9,-1.98206845162472,-99.9,0,0
5_2,-1.98279270773064,-99.9,-1.98099622179831,-1.98044098175811,11.9226918204809,0
5_3,-1.98014492799375,-99.9,-1.98149690253857,-1.98229225873654,0,0
5_4,-1.98479631189681,-99.9,-1.98488113913562,-1.98421014896181,0,0
5_5,-1.98843655620227,-99.9,-99.9,-1.98889249229888,0,0


1_1,-99.9,-1.98880347145822,-1.98811407784585,-99.9,0,0
1_2,-99.9,-1.98838066286841,-1.98941814173419,-1.98772207112022,0,12.008218988893
1_3,-99.9,-1.99074191332219,-1.99112033552164,-1.99120403078654,0,0
1_4,-99.9,-1.99201933978901,-1.99172174687897,-1.99112664062195,0,11.9956850904319
1_5,-99.9,-1.9919641305892,-99.9,-1.99280377981519,0,0
2_1,-1.98854989127071,-1.98690265974848,-1.98903862574746,-99.9,0,12.0068047666268
2_2,-1.99160705267848,-1.99379904760056,-1.992313358381,-1.99119914462088,0,0
2_3,-1.99278951847801,-1.99433860157097,-1.99233096013522,-1.99328999143727,0,3.64497075379329
2_4,-1.99298686703817,-1.99284676743783,-1.99281431557578,-1.99333222028429,0,0
2_5,-1.99299459486298,-1.99385314406037,-99.9,-1.99289074710884,0,12.0038797788606
3_1,-1.99274049508677,-1.99410130531332,-1.99410037077764,-99.9,0,0
3_2,-1.99473677252201,-1.99542678332198,-1.99518673044169,-1.99516621151419,0,12.0039111563771
3_3,-1.99487269780636,-1.99435026167842,-1.9952139872102,-1.99477501740828,0,0
3_4,-1.99416287806841,-1.99508859268417,-1.99508860814219,-1.9950648244178,0,12.0040279738256
3_5,-1.99632763237247,-1.99639254142382,-99.9,-1.99655401939613,0,0
4_1,-1.99516799195644,-1.99665101435461,-1.99677221923286,-99.9,0,0
4_2,-1.99706247121763,-1.99732376286244,-1.99709970667123,-1.99707442326426,0,0
4_3,-1.99535610608709,-1.99571425524781,-1.99539262033605,-1.99627337607747,0,12.0068114808497
4_4,-1.99512314875841,-1.99425729171133,-1.99427942984437,-1.99404020027729,0,0
4_5,-1.99490644020658,-1.99396400859523,-99.9,-1.99453773224795,0,12.003799749862
5_1,-1.99656186693211,-99.9,-1.99646520912921,-99.9,0,0
5_2,-1.99658123613341,-99.9,-1.99597674484647,-1.99681216919766,0,0
5_3,-1.99463495261101,-99.9,-1.99512559838863,-1.99533702843266,0,0
5_4,-1.99336900006907,-99.9,-1.99376217528317,-1.99303988743975,0,12.0046669476302
5_5,-1.99424047495123,-99.9,-99.9,-1.99334503998089,0,0
