Blocks (Y, X), N, S, E, W, P, D
1_1,-99.9,-1.92376551097929,-1.9239125141108,-99.9,0,0
1_2,-99.9,-1.85961064853665,-1.95577272022938,-1.95426524715705,0,0
1_3,-99.9,-1.91972560463094,-1.97535849122347,-1.92016405382438,0,0
1_4,-99.9,-1.95821169609826,-1.96997842219178,-1.95805977160201,0,0
1_5,-99.9,-1.94428386405899,-99.9,-1.97816279034309,0,0
2_1,-1.9563872290818,-1.87201273136311,-1.8537243304609,-99.9,0,0
2_2,-1.92009999515534,-1.73006632807528,-1.92448412046577,-1.91782712683873,0,0
2_3,-1.95650133551919,-1.87117233636371,-1.95847938141559,-1.85524184223465,0,0
2_4,-1.9770250855085,-1.92308558231131,-1.94798275877111,-1.91966092521684,0,0
2_5,-1.9651647857099,-1.9062114884574,-99.9,-1.95678556096506,12.0577616500165,0
3_1,-1.91493436150673,-1.83560820723271,-1.79109597834056,-99.9,0,0
3_2,-1.80697053735445,-1.67619743222415,-1.76203279445324,-1.75754501556218,12.239543417075,0
3_3,-1.92246743439785,-1.78119629562283,-1.91832804701021,-1.80494517552869,0,0
3_4,-1.93972914574803,-1.84766784931632,-1.93684414229938,-1.86214337841928,12.0576342167332,0
3_5,-1.93438846268922,-1.91622984980396,-99.9,-1.893702890704,0,0
4_1,-1.84536335142931,-1.85069440695315,-1.68937704256698,-99.9,12.2984171682522,0
4_2,-1.6838263768762,-1.75024233728791,-1.52689181874008,-1.79522144364487,0,0
4_3,-1.83803639662042,-1.74097277583235,-1.80048677844282,-1.64475569742881,12.2380403128696,0
4_4,-1.913338435815,-1.91473879540794,-1.91597256453765,-1.75606956710532,0,0
4_5,-1.9272234108741,-1.95898219834712,-99.9,-1.86326914183538,12.0601056658642,0
5_1,-1.82088875124046,-99.9,-1.7840626388289,-99.9,0,0
5_2,-1.67087374976933,-99.9,-1.84972567919139,-1.80955857553136,12.3456957157293,0
5_3,-1.80408781575153,-99.9,-1.91910301550072,-1.78263150935069,0,0
5_4,-1.85794035550967,-99.9,-1.95961562904543,-1.85304457701408,0,0
5_5,-1.92776735862414,-99.9,-99.9,-1.92301154889858,0,0


1_1,-99.9,0,-0.3,-99.9,0,0
1_2,-99.9,0,-0.981575995078516,0,0,12.9982566107944
1_3,-99.9,-1.65766994173463,-1.69210492836777,-0.9903110989593,0,0
1_4,-99.9,-1.8539644159249,-1.80196301111819,-1.46036733843658,0,11.4933551232003
1_5,-99.9,-1.88994889718596,-99.9,-1.70490985819166,0,0
2_1,-0.3,-1.10373109939339,-0.7387054485,-99.9,0,12.9999999998134
2_2,-0.99321776927151,-1.73703041703674,-1.7242187597398,-1.13708830913592,0,0
2_3,-1.48763015436575,-1.86129356328755,-1.83854792131194,-1.48471149922361,0,0
2_4,-1.72361859175036,-1.92351970241038,-1.91224934506597,-1.72536846197095,0,0
2_5,-1.83646932809683,-1.95488521166893,-99.9,-1.85497440854744,0,12.1477545528926
3_1,-1.13235264788412,-1.77986121318725,-1.74508984554539,-99.9,0,0
3_2,-1.49506322417517,-1.87160588489081,-1.86446532221996,-1.54300065722955,0,12.1415783982279
3_3,-1.73769428335873,-1.93246101176697,-1.92364196689287,-1.74456798451909,0,0
3_4,-1.85342777290891,-1.96107871578919,-1.95379704686447,-1.86649897199269,0,12.1361492024378
3_5,-1.91778213080989,-1.97521388777532,-99.9,-1.92472471302143,0,0
4_1,-1.56343460521584,-1.89011635481826,-1.87226666822059,-99.9,0,0
4_2,-1.74622109093965,-1.9356674236843,-1.93238559216189,-1.78074387139103,0,0
4_3,-1.86777569455278,-1.96502403841322,-1.96116387027667,-1.87214596978241,0,12.1359086497181
4_4,-1.92355790167858,-1.97785932786631,-1.97387179069107,-1.93053165015222,0,0
4_5,-1.95108989913992,-1.97365205082767,-99.9,-1.96076919633701,0,12.0147919464866
5_1,-1.78135943725904,-99.9,-1.93559141326758,-99.9,0,0
5_2,-1.87218643378792,-99.9,-1.96530562136029,-1.8893880065188,0,0
5_3,-1.93102278832176,-99.9,-1.97910781036934,-1.93563284419196,0,0
5_4,-1.95967180495937,-99.9,-1.98385430135896,-1.96291382134054,0,12.0186468856125
5_5,-1.97120231601722,-99.9,-99.9,-1.97604865026134,0,0
